molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,assay_type
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,IC50,7500.0,nM,F
CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,IC50,800000.0,nM,B
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,IC50,60000.0,nM,B
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,IC50,37000.0,nM,B
CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,IC50,833000.0,nM,B
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,29.0,nM,B
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,5000.0,nM,F
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,50000.0,nM,F
CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,IC50,325000.0,nM,B
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,IC50,6000.0,nM,B
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,200.0,nM,B
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,44.0,nM,B
CHEMBL77436,CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1,IC50,,nM,B
CHEMBL311564,COc1ccc(C(O)=C(C#N)C#N)cc1,IC50,450000.0,nM,B
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,IC50,75000.0,nM,B
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,4.7,nM,B
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,IC50,1.8,nM,B
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,IC50,100.0,nM,F
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,IC50,,nM,F
CHEMBL307248,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,IC50,640000.0,nM,B
